Gamma,Beta,Alpha,Theta,Delta
32.55341534,12.51072435,10.23342856,5.693964657,1.066303171
40.64774284,15.60720254,9.198196715,5.41739401,2.971932337
30.53781164,15.216709,9.595149033,5.15078983,0.962903057
43.98294452,17.47019596,11.95634428,4.973441361,1.978179503
47.47167547,13.39173041,9.933198321,4.956369997,2.441863857
42.75774403,16.96089645,9.082607677,4.727909337,0.730395914
39.58590787,17.23303892,10.77889692,5.973086376,1.596870959
30.90242303,15.69754742,11.04774779,7.926635351,2.608910024
41.43906635,16.16789448,10.69266114,6.92113884,1.993004971
43.0720848,12.87145168,11.1813053,7.592083333,1.004022569
45.9359986,12.22860393,9.572315721,6.478909974,2.153857815
47.68816765,17.97289501,9.479946846,6.707425663,0.676984639
35.47521474,13.71411215,10.25363441,6.372717605,1.753077071
37.7288423,15.46643798,10.25567693,7.257750901,1.941992433
39.87752936,17.04653664,8.182106139,6.886780069,0.976345187
33.13885855,14.37418568,10.42786874,5.251566283,2.328000441
44.37650944,12.46717655,9.103915463,7.161340302,2.491666839
41.6099971,15.24234234,8.18362012,6.624708467,2.583581021
44.9013093,12.5747252,11.95855871,4.542568899,1.544187546
30.20898288,14.52713487,11.15110987,6.067053174,2.460819975
32.03237721,16.43953849,9.304074277,4.322317185,1.95464832
30.60335551,13.69357594,9.863235012,6.971157027,2.140832191
30.8893551,15.01429434,9.935368729,7.462809407,1.625697151
42.45974889,12.45731188,10.85944513,6.517897544,1.503445292
39.52024927,13.56282643,11.19777551,7.770789238,2.73117734
47.2007564,14.85700588,11.03302741,5.588889673,1.301017055
31.88890719,12.15253487,11.49666704,6.51771666,0.934617034
44.12859461,13.20168098,10.48767072,6.008740974,1.432790333
33.00210582,15.83009729,11.77553999,4.87097794,1.571277891
49.88591344,16.98004974,10.8565964,7.325297084,2.539176276
46.52653638,12.44102241,9.361150385,4.8125426,1.162477083
37.82637262,17.7741136,11.10698825,7.86000206,2.183716864
39.75298503,12.14643246,8.557627873,7.462775822,0.671575621
32.32010868,13.28394698,8.175994542,7.845814317,2.430592008
36.62914737,12.6473209,11.56619133,5.595922616,1.962344586
37.42735177,17.11734641,9.274587402,7.769367643,2.646694696
35.57843309,15.81478004,10.54075744,6.248977245,2.716889854
45.88567123,16.8459543,8.848768863,5.300381429,0.956837855
