Gamma,Beta,Alpha,Theta,Delta
95.70880615,28.38526268,5.955788053,5.192301418,1.151593933
92.99604785,27.21525511,7.700314268,4.937701611,0.986840014
96.31593273,28.57337709,6.471097039,4.024214495,1.39348336
84.34678472,28.04443449,5.013807783,3.078245093,1.091725056
90.27670127,26.60450284,6.235227119,2.276671112,1.202513361
97.41528671,29.7952557,7.007427956,4.50778265,0.972740486
84.56881851,28.34215219,5.265303045,5.741185845,1.460603027
88.80933422,28.42542189,7.395843319,2.256351408,1.058414859
96.94233264,26.59796627,7.874404617,3.341223473,0.654402195
80.16260299,25.80442188,7.196278795,5.338426112,1.08539393
87.11130408,28.71091605,6.887009583,2.727762039,0.882896334
97.70582626,29.39350278,7.27510392,4.204309297,1.336633406
89.23016556,29.36819775,6.110778179,3.627796765,1.206502661
95.66125136,26.78986157,5.84467316,4.078895755,0.530349384
94.24806763,28.8180783,5.812181594,4.829250946,0.512949264
87.53304667,28.29491237,6.771359654,3.671737362,0.723223239
86.96171557,27.31876351,7.526602148,2.369649494,1.19580166
86.88396679,29.56295431,7.517600229,5.731558823,1.334834462
97.45137498,25.48541063,5.452096929,2.972423712,1.076915853
91.41935734,29.24981699,7.572569974,5.136644822,0.5192924
84.90154006,28.15563504,7.886485592,3.111851472,0.844011903
83.19168274,27.01174834,7.322204372,5.938920979,0.502534201
90.71298426,26.39642784,6.25021162,5.881627341,1.059930881
80.5950416,29.50284884,7.624650242,4.705619717,1.126133612
92.17224312,26.23700142,7.697423797,5.202075432,1.405268177
84.05835408,25.48415517,6.840684506,2.356219089,0.944581161
86.68396096,28.0842679,7.294283943,2.223521744,1.386831072
85.14410463,29.1617556,7.543671134,4.349119021,0.824288432
94.01901326,29.89465779,5.946453165,5.693589057,0.563002462
91.47486207,27.00012354,7.270862933,4.888116298,1.448429384
84.36037223,28.43688106,5.092386876,5.507481461,0.739266462
81.56226181,26.32203215,7.8239578,5.207238064,1.163422713
81.1399692,29.49594898,7.569316848,5.182343389,0.948068898
88.23536828,26.40733793,5.536716668,3.731824837,1.266473029
83.73854482,27.33791857,5.64335817,2.182550881,0.74860371
86.026738,29.55879768,6.11546082,3.051541624,0.524156735
88.12424595,26.09665039,6.851226355,5.512474446,1.103796106
81.24023515,27.25016578,6.706585116,2.406375669,0.674551263
97.75038113,28.12720796,5.306362518,5.040954655,1.150754635
98.28386405,25.25880742,5.857277478,3.194144931,1.202415978
94.21265381,28.37532303,7.170218324,2.956188442,0.777455588
86.1046261,27.02835531,6.66378774,2.820339146,1.404395316
82.6557453,28.42517898,5.177091555,3.787401716,1.402660906
85.21152235,29.15052457,7.657060091,2.602172856,0.505055325
92.28560846,25.24795646,7.026584932,2.566632135,0.508614408
86.26040346,25.2300578,6.411853079,4.404294055,0.921830411
80.93861731,28.15978286,7.806437282,5.145493737,0.97644622
85.98836175,26.76684103,7.508720664,5.030420001,1.140900539
91.79687342,26.28382727,6.868660132,5.69386797,0.63664054
88.71044166,28.78793659,6.054366096,4.752736671,1.476330708
95.81808687,29.65860306,5.488194801,2.609267999,1.478426429
89.51993041,29.4034778,5.761766953,5.003485607,1.026769553
99.15456878,28.04208041,6.75719415,5.959002261,1.48749934
88.12222396,26.28746753,7.312263564,4.405847674,1.24946441
84.33801581,26.80307657,6.751289718,4.577210343,0.632542272
81.89990241,28.11856817,5.569688888,2.002073911,0.83488233
98.47993253,29.93641012,7.170503751,2.563302859,1.289507013
97.86522408,29.50011992,6.812133351,2.176592484,1.350272831
92.44072951,25.70852897,6.747289899,5.883061685,1.395128561
84.1441619,29.61469101,6.280551683,3.604420987,1.27386384
87.5141257,26.38012029,5.572355249,2.871099776,1.288450412
85.93680778,27.81876072,5.6453703,5.00221411,1.137885849
80.89693986,26.28332374,7.997721147,2.783212621,1.495303048
97.93828465,26.31798937,6.432299839,3.745624474,0.631829703
81.60672542,29.63453451,7.692998285,2.383766152,0.629877816
81.88437654,26.41186207,7.692122092,4.725057282,1.153572123
98.62108131,27.4626452,6.774230292,3.554247201,1.444506429
82.73501612,29.86713247,7.075739834,5.605933327,1.00281992
85.87693034,26.02372244,5.753424064,5.280655477,1.108814589
95.25753767,26.95336742,7.963467309,3.817583567,0.511169567
82.17816821,26.84600246,6.636207837,3.510105839,0.648811018
93.24809831,29.88663304,7.082343767,4.433098982,1.352683036
98.98942295,26.70655303,5.574195518,4.968509507,0.957073775
87.42113535,27.23409069,7.764877428,5.795086936,1.471467555
80.54729058,29.01873135,6.708834516,3.920791262,1.272815037
94.83165423,27.7293887,6.424110045,5.539446532,0.699464939
94.31652337,29.23176339,6.399682214,3.559712775,0.552999935
81.01698063,27.67643768,6.851056467,4.697692467,1.469067299
82.30498855,28.66581611,7.358330082,5.05405717,0.861915969
93.87289324,26.38022374,5.781127198,2.527375183,0.837534005
98.16716565,25.40946588,5.498908187,2.247048437,0.769922043
83.97415918,27.73130854,5.311891393,4.460708387,1.431650495
94.23262616,28.53722591,6.029086388,3.837538536,1.453689713
98.84634953,28.42707771,6.257534539,5.130980411,1.192127807
84.22680323,26.37556749,5.12777282,3.577718992,1.357518143
94.87085289,25.08771983,7.585952497,5.745701566,1.08373715
95.79479288,28.70315878,5.990190397,4.203135714,1.271635285
90.46318834,29.46187165,7.302781594,2.958640539,0.86238845
89.41422457,26.87954237,5.163380634,5.612515271,1.359530357
80.57700959,28.83424118,5.554731393,5.420174762,0.661194095
87.4251589,27.37473058,5.028967908,3.986536192,1.052847003
94.10377503,27.21754673,5.969041835,2.81443283,1.175366068
95.13845497,29.04776533,5.424198177,2.862085287,0.7694708
95.13787317,26.77962731,7.14935897,5.600438356,1.342109271
83.27022324,26.41689226,7.016866046,2.997650103,0.58185448
87.95057901,27.3224336,7.083956226,3.175176182,0.768520359
84.12876891,26.57907147,5.120953058,5.671935334,0.732061372
80.96455418,28.67240249,5.656880795,4.819905047,0.905119121
96.6480616,26.51257985,7.471792981,5.70999856,1.132645619
98.04805927,27.91975594,5.133138171,4.658109753,0.794622464
89.6771067,26.65671398,6.639028381,3.470503864,1.18132157
84.95291173,29.41695192,7.231175455,3.37659248,1.266527816
97.01162219,29.69690975,6.592459321,2.829288146,1.365202668
94.46067912,25.34897106,5.595037158,4.308323599,1.108075183
88.87845742,29.34956174,6.695447411,4.404641893,0.603202091
89.97119379,28.83767472,5.200659661,4.518434869,1.369656434
83.54265357,29.79831514,7.294272319,5.289900331,1.382035116
98.32349131,29.11084077,5.443405842,3.207905349,0.542068629
86.00275608,25.54543943,7.837048648,3.586685104,1.212357214
80.04649503,29.85519247,7.554238886,5.291085419,1.4394172
94.9135788,26.63480966,7.945759994,3.261858981,0.776373102
92.96865127,29.00979477,5.30173568,4.803552211,0.580200481
88.79125253,26.04220844,7.331373633,5.853604199,0.719174511
89.08185479,25.12290808,5.553343993,4.711195694,1.275318959
84.72502411,26.45987389,7.246786328,2.694503056,0.795176012
93.80219976,27.9294464,6.068244044,4.68191206,0.988973492
98.26213228,26.66171854,6.82481031,4.156633802,0.900405589
97.62677502,25.84685475,7.120181301,5.261106312,0.593279371
83.81523438,28.67381585,7.807183926,5.271753689,0.898233545
97.73739171,26.1882512,5.159248694,3.743370766,1.37525447
92.10439842,28.02751039,5.506978698,5.847860741,0.542090823
86.47905223,28.52166777,5.236176664,2.270628826,0.64658598
80.86176699,28.84471966,5.108921447,2.506926365,1.168921368
94.67866314,29.95459692,7.611556587,5.9634044,1.343682079
86.30184549,29.34515711,5.661850892,4.611278045,0.846545691
97.5922441,26.15992162,7.829973227,5.840958963,1.21269186
87.57598781,27.12108321,6.836698931,3.019700923,1.449123017
92.77286709,29.6069374,5.606946044,2.894523196,1.494557659
84.01329942,27.50114772,7.329959589,4.481089199,0.674702473
97.86137236,29.14912956,7.211138541,3.530385059,0.978309786
84.35673487,27.44085953,5.846022769,3.318126171,0.873467127
99.53122485,25.4223164,7.256952531,4.399178254,1.234358034
83.29063199,26.3333519,6.700408865,4.181251959,0.623800493
97.64346253,29.79359489,6.332834013,2.793121709,0.57154199
81.92583972,28.60028996,7.976818872,2.727677355,1.036643412
93.86592582,28.17483959,7.770182821,2.55416997,1.393751746
94.02399073,28.52454324,7.371119124,4.276160755,1.192525632
83.05462105,29.91156331,5.786670731,3.05326125,0.663483519
83.72664045,28.11609521,5.48412072,4.798294055,0.968041296
87.93045636,27.70001036,6.220582387,4.712334391,1.290472282
82.22948262,29.41122037,5.960818354,2.558287523,1.203585849
